0 a_foggy_day, 13.3 10.2;
1 a_night_in_tunisia, 11.95 6.6;
2 afro_blue, 6 2.2;
3 all_of_you, 8.01421 3.2;
4 alone_together, 14.0142 6.4;
5 anthopology, 7.41421 6.4;
6 autumn_in_new_york, 6.11421 6.4;
7 big_nick, 13 4.4;
8 black_narcissus, 2.13205 8.6;
9 but_beautiful, 10.1361 12.2;
10 chicken_feathers, 10.7495 10.4;
11 dearly_beloved, 10.4142 6.8;
12 dearly_old_stockholm, 8.01421 1.4;
13 exercise_6, 3.3 4.6;
14 fall, 6.7 10.8;
15 gentle_rain, 3.63205 8.2;
16 golden_lady, 15.8321 8.8;
17 grand_central, 10.1495 10.2;
18 have_you_met_miss_jones, 11.9142 6;
19 hello_young_lovers, 12 2.4;
20 the_dolphin, 8.4 4.8;
